iter	RMSE
0	0.4005640684
1	0.3978156602
2	0.3953798324
3	0.3928133785
4	0.3902156658
5	0.3877958265
6	0.3852704653
7	0.3828723426
8	0.3804223703
9	0.3781175755
10	0.37583395
11	0.3734804325
12	0.37119454
13	0.3687480891
14	0.3664339086
15	0.3643296716
16	0.3620417538
17	0.359823213
18	0.3577278674
19	0.3556497434
20	0.353393553
21	0.3512327164
22	0.349015216
23	0.3468011363
24	0.34466869
25	0.3425404993
26	0.340447041
27	0.3385232237
28	0.3364155679
29	0.3344039791
30	0.332435844
31	0.3305784066
32	0.3284774845
33	0.3265077733
34	0.3244749692
35	0.3227689594
36	0.3208538559
37	0.3191232828
38	0.3172592082
39	0.3153720105
40	0.313774818
41	0.3119135493
42	0.3100682559
43	0.3082954098
44	0.3065732873
45	0.3050831982
46	0.3031799925
47	0.3013602211
48	0.2996239964
49	0.2980208577
50	0.2963471535
51	0.2947869448
52	0.2933663964
53	0.2917629331
54	0.290139111
55	0.2884827274
56	0.2870452442
57	0.2855194723
58	0.2839547245
59	0.2825116729
60	0.2811149403
61	0.2796480074
62	0.2783779326
63	0.2768734055
64	0.2755025223
65	0.2741527584
66	0.2727044438
67	0.2712977793
68	0.269874098
69	0.268525122
70	0.2673494074
71	0.2659869834
72	0.2646697076
73	0.263448194
74	0.2621374218
75	0.260878972
76	0.2595607648
77	0.2582663032
78	0.2569985688
79	0.2557263844
80	0.2544699997
81	0.2532765866
82	0.2519816735
83	0.2507647126
84	0.2496144073
85	0.2484525889
86	0.2473302739
87	0.2461404734
88	0.2450180506
89	0.2439234815
90	0.2429223915
91	0.2418261253
92	0.2407636802
93	0.2397183191
94	0.238654076
95	0.2377009013
96	0.2366690863
97	0.235743452
98	0.2346191217
99	0.2336071853
100	0.2326598899
101	0.2316268079
102	0.2307691752
103	0.2297758876
104	0.2288730197
105	0.2279557873
106	0.2269672272
107	0.2260419721
108	0.2251683177
109	0.2242140937
110	0.2232267804
111	0.2223329902
112	0.221428541
113	0.2205175109
114	0.2196354806
115	0.2186838897
116	0.2178670308
117	0.2169431624
118	0.2161114224
119	0.2152765717
120	0.2143844105
121	0.2135708602
122	0.2127817259
123	0.2121185312
124	0.2113058593
125	0.2104060983
126	0.2096567716
127	0.2088707239
128	0.2080577775
129	0.2073550715
130	0.2066800478
131	0.2059439836
132	0.2051036952
133	0.2044037731
134	0.2036853261
135	0.2029787565
136	0.2022773098
137	0.2015900004
138	0.2008897625
139	0.2001782884
140	0.1995246976
141	0.1989175704
142	0.1983110265
143	0.1977554625
144	0.1970308784
145	0.1963971404
146	0.1956841071
147	0.1950593219
148	0.1943715312
149	0.1937396015
150	0.1931327902
151	0.1925272159
152	0.1920601489
153	0.191484532
154	0.1908549655
155	0.1902477253
156	0.1896804891
157	0.1891237526
158	0.1885107444
159	0.1878756399
160	0.1873455133
161	0.1868821542
162	0.1863123512
163	0.1857048277
164	0.1850923483
165	0.1845165614
166	0.1839619239
167	0.183481835
168	0.1829890351
169	0.1825221002
170	0.1819317966
171	0.1814001954
172	0.1808782096
173	0.1803092005
174	0.1798091542
175	0.1792711563
176	0.1787841818
177	0.1783201338
178	0.1778487772
179	0.177385057
180	0.1769033045
181	0.1763740323
182	0.1759357684
183	0.1755091983
184	0.1750349969
185	0.1746166211
186	0.1741404364
187	0.1737492926
188	0.1732641372
189	0.1727923415
190	0.1723759278
191	0.1719853902
192	0.1715381754
193	0.1711068742
194	0.1706778106
195	0.1702947472
196	0.1699107046
197	0.1695217245
198	0.1691903434
199	0.1687931617
200	0.1684143153
201	0.1680652446
202	0.1676172832
203	0.1671901384
204	0.166813856
205	0.1664209934
206	0.1660355997
207	0.1657026521
208	0.1653253768
209	0.1649541227
210	0.1646108404
211	0.1642377433
212	0.1639002582
213	0.1635501002
214	0.1632113704
215	0.16289531
216	0.1625744076
217	0.1622151588
218	0.1618766642
219	0.1615583724
220	0.1612071192
221	0.1608396554
222	0.1605039943
223	0.1602151993
224	0.1599180395
225	0.1595981418
226	0.1593010979
227	0.158973745
228	0.1586879535
229	0.1583477744
230	0.158022309
231	0.1577201847
232	0.1574521541
233	0.1571963701
234	0.1568964061
235	0.1565959081
236	0.1563133382
237	0.1560410816
238	0.1557636007
239	0.1554958945
240	0.1552229423
241	0.1549842736
242	0.1546859744
243	0.1544077741
244	0.1541415286
245	0.153889628
246	0.1536482941
247	0.1533431534
248	0.1530961967
249	0.152842653
250	0.1525415081
251	0.152302932
252	0.1520735821
253	0.1518122406
254	0.1515133468
255	0.1512386115
256	0.1509784203
257	0.1506690682
258	0.1504620937
259	0.1502393055
260	0.1500045417
261	0.1497901374
262	0.14956729
263	0.1493407053
264	0.1490921623
265	0.1488909334
266	0.1486852161
267	0.1484714143
268	0.1482373737
269	0.1480351143
270	0.1478573562
271	0.147648626
272	0.1474635565
273	0.1472173836
274	0.1469315123
275	0.1467594885
276	0.146525051
277	0.146291503
278	0.1460973393
279	0.1459145624
280	0.1457035133
281	0.1454887289
282	0.145304271
283	0.1451162137
284	0.1449222339
285	0.1446741374
286	0.1444896237
287	0.1442948564
288	0.1440782098
289	0.1438252324
290	0.1436224575
291	0.143414757
292	0.1432347257
293	0.1430505884
294	0.1428051401
295	0.1425989902
296	0.1424229116
297	0.1422445503
298	0.142058592
299	0.1418532938
300	0.1416585175
301	0.1414711196
302	0.1413129996
303	0.1411231129
304	0.1409452715
305	0.1407475601
